customer_id,timestamp,amount,transaction_type,location,device,merchant,is_fraud
CUST006,2024-12-20 17:56:00,247.32,withdrawal,Los Angeles,mobile,Merchant_7,0
CUST006,2024-06-15 20:05:00,563.4,withdrawal,New York,mobile,Merchant_36,0
CUST006,2024-03-10 07:22:00,421.05,withdrawal,New York,mobile,Merchant_20,0
CUST006,2024-02-07 15:18:00,639.34,payment,Los Angeles,mobile,Merchant_9,0
CUST006,2024-12-29 07:32:00,423.5,withdrawal,Houston,desktop,Merchant_18,0
CUST006,2024-07-10 08:17:00,585.74,purchase,New York,ATM,Merchant_38,0
CUST006,2024-06-15 12:33:00,642.82,transfer,New York,mobile,Merchant_47,0
CUST006,2024-05-08 06:11:00,383.21,transfer,Los Angeles,desktop,Merchant_1,0
CUST006,2024-01-22 01:38:00,340.98,withdrawal,New York,ATM,Merchant_15,0
CUST006,2024-11-07 10:00:00,307.48,payment,Chicago,desktop,Merchant_32,0
CUST006,2024-02-10 01:20:00,582.29,purchase,New York,desktop,Merchant_16,0
CUST006,2024-08-12 23:16:00,249.39,withdrawal,Chicago,ATM,Merchant_28,0
CUST006,2024-01-05 21:37:00,6382.24,payment,New York,ATM,Merchant_47,1
CUST006,2024-11-29 09:13:00,660.96,transfer,Houston,mobile,Merchant_12,0
CUST006,2024-01-14 07:32:00,240.68,withdrawal,New York,ATM,Merchant_5,0
CUST006,2024-06-19 09:28:00,372.75,withdrawal,Houston,mobile,Merchant_23,0
CUST006,2024-02-03 05:00:00,578.83,withdrawal,New York,ATM,Merchant_33,0
CUST006,2024-08-03 06:31:00,555.49,withdrawal,New York,mobile,Merchant_40,0
CUST006,2024-01-01 22:13:00,331.35,purchase,New York,desktop,Merchant_32,0
CUST006,2024-12-29 20:34:00,369.47,purchase,Los Angeles,ATM,Merchant_14,0
CUST006,2024-07-30 06:04:00,257.87,payment,Los Angeles,mobile,Merchant_1,0
CUST006,2024-07-21 10:56:00,363.49,withdrawal,New York,desktop,Merchant_9,0
CUST006,2024-01-26 14:39:00,507.49,purchase,New York,mobile,Merchant_42,0
CUST006,2024-09-21 13:03:00,572.56,withdrawal,New York,ATM,Merchant_48,0
CUST006,2024-02-22 11:20:00,364.99,withdrawal,New York,desktop,Merchant_27,0
CUST006,2024-03-07 15:23:00,657.57,withdrawal,Los Angeles,ATM,Merchant_29,0
CUST006,2024-02-27 15:24:00,330.18,transfer,New York,mobile,Merchant_8,0
CUST006,2024-10-09 04:44:00,463.3,payment,New York,desktop,Merchant_3,0
CUST006,2024-06-08 04:04:00,383.22,purchase,Houston,mobile,Merchant_25,0
CUST006,2024-05-04 14:06:00,454.99,transfer,Chicago,ATM,Merchant_1,0
CUST006,2024-08-24 04:10:00,568.75,payment,New York,desktop,Merchant_45,0
CUST006,2024-12-13 11:30:00,423.38,purchase,New York,ATM,Merchant_2,0
CUST006,2024-12-01 17:33:00,624.39,payment,New York,mobile,Merchant_8,0
CUST006,2024-11-21 08:55:00,488.94,withdrawal,Miami,ATM,Merchant_45,0
CUST006,2024-12-22 11:01:00,540.77,purchase,New York,ATM,Merchant_50,0
CUST006,2024-06-01 06:54:00,637.7,transfer,New York,ATM,Merchant_10,0
CUST006,2024-03-23 02:25:00,580.56,purchase,New York,ATM,Merchant_11,0
CUST006,2024-09-03 02:37:00,445.02,purchase,New York,mobile,Merchant_42,0
CUST006,2024-01-19 00:36:00,646.1,transfer,New York,desktop,Merchant_33,0
CUST006,2024-03-28 09:45:00,425.97,transfer,New York,desktop,Merchant_49,0
CUST006,2024-10-28 20:30:00,240.52,payment,New York,desktop,Merchant_50,0
CUST006,2024-06-23 14:58:00,270.6,payment,New York,ATM,Merchant_20,0
CUST006,2024-11-22 23:31:00,517.48,transfer,Miami,mobile,Merchant_42,0
CUST006,2024-09-19 09:49:00,487.61,withdrawal,Houston,desktop,Merchant_11,0
CUST006,2024-09-13 08:35:00,291.27,payment,New York,ATM,Merchant_33,0
CUST006,2024-02-07 08:13:00,289.51,withdrawal,New York,ATM,Merchant_42,0
CUST006,2024-06-23 01:28:00,348.55,transfer,Houston,mobile,Merchant_5,0
CUST006,2024-09-12 09:19:00,330.34,purchase,New York,ATM,Merchant_43,0
CUST006,2024-07-28 22:07:00,490.94,purchase,Los Angeles,ATM,Merchant_17,0
CUST006,2024-09-01 04:46:00,464.66,withdrawal,New York,ATM,Merchant_13,0
CUST006,2024-03-16 10:39:00,386.07,purchase,New York,mobile,Merchant_17,0
CUST006,2024-07-11 19:22:00,651.05,withdrawal,Los Angeles,mobile,Merchant_34,0
CUST006,2024-04-08 00:57:00,462.86,purchase,New York,desktop,Merchant_16,0
CUST006,2024-08-10 22:18:00,627.43,purchase,New York,ATM,Merchant_37,0
CUST006,2024-12-18 10:44:00,637.78,transfer,Chicago,mobile,Merchant_22,0
CUST006,2024-12-06 04:19:00,303.42,payment,Los Angeles,mobile,Merchant_50,0
CUST006,2024-09-14 15:57:00,557.58,payment,New York,mobile,Merchant_12,0
CUST006,2024-01-30 15:16:00,274.38,payment,New York,ATM,Merchant_1,0
CUST006,2024-03-31 12:25:00,260.01,purchase,Los Angeles,desktop,Merchant_39,0
CUST006,2024-08-05 01:17:00,454.32,transfer,Chicago,mobile,Merchant_16,0
CUST006,2024-08-03 11:19:00,642.03,transfer,Los Angeles,desktop,Merchant_26,0
CUST006,2024-07-05 12:19:00,229.54,transfer,New York,desktop,Merchant_39,0
CUST006,2024-04-01 16:35:00,386.91,purchase,New York,desktop,Merchant_34,0
CUST006,2024-10-12 12:40:00,313.84,payment,Houston,ATM,Merchant_35,0
CUST006,2024-07-09 19:02:00,341.1,transfer,New York,ATM,Merchant_13,0
CUST006,2024-12-08 16:35:00,292.21,purchase,New York,desktop,Merchant_46,0
CUST006,2024-03-02 05:32:00,428.31,withdrawal,New York,desktop,Merchant_42,0
CUST006,2024-10-08 07:56:00,408.55,payment,New York,ATM,Merchant_46,0
CUST006,2024-04-24 21:23:00,294.48,payment,New York,ATM,Merchant_45,0
CUST006,2024-04-09 19:44:00,310.81,purchase,New York,ATM,Merchant_45,0
CUST006,2024-03-28 00:02:00,642.84,payment,New York,desktop,Merchant_7,0
CUST006,2024-08-18 05:28:00,354.06,purchase,New York,ATM,Merchant_48,0
CUST006,2024-11-29 09:57:00,342.68,payment,Los Angeles,ATM,Merchant_12,0
CUST006,2024-06-20 05:42:00,665.12,withdrawal,New York,desktop,Merchant_8,0
CUST006,2024-02-21 00:12:00,311.4,payment,New York,desktop,Merchant_9,0
CUST006,2024-05-27 00:10:00,609.98,purchase,New York,ATM,Merchant_21,0
CUST006,2024-03-01 21:56:00,316.83,withdrawal,Chicago,ATM,Merchant_41,0
CUST006,2024-04-28 04:04:00,473.65,payment,Los Angeles,mobile,Merchant_30,0
