customer_id,timestamp,amount,transaction_type,location,device,merchant,is_fraud
CUST000,2024-06-04 10:59:00,587.93,purchase,Chicago,desktop,Merchant_24,0
CUST000,2024-01-22 08:39:00,654.25,transfer,New York,ATM,Merchant_35,0
CUST000,2024-07-21 12:28:00,470.25,payment,New York,desktop,Merchant_49,0
CUST000,2024-11-24 07:52:00,606.29,payment,New York,ATM,Merchant_29,0
CUST000,2024-03-29 23:43:00,445.55,withdrawal,New York,mobile,Merchant_40,0
CUST000,2024-03-30 09:47:00,584.92,transfer,New York,mobile,Merchant_19,0
CUST000,2024-10-10 03:25:00,313.86,payment,New York,desktop,Merchant_32,0
CUST000,2024-09-29 00:18:00,438.25,purchase,New York,desktop,Merchant_20,0
CUST000,2024-01-08 07:11:00,548.35,purchase,New York,mobile,Merchant_29,0
CUST000,2024-07-02 07:52:00,261.21,transfer,New York,ATM,Merchant_40,0
CUST000,2024-01-19 10:20:00,682.11,transfer,New York,desktop,Merchant_17,0
CUST000,2024-05-11 04:43:00,262.93,withdrawal,Los Angeles,desktop,Merchant_13,0
CUST000,2024-04-20 04:49:00,504.01,withdrawal,New York,desktop,Merchant_45,0
CUST000,2024-12-17 23:23:00,437.92,withdrawal,Houston,desktop,Merchant_30,0
CUST000,2024-03-02 22:39:00,278.43,withdrawal,New York,mobile,Merchant_7,0
CUST000,2024-12-10 14:54:00,446.26,transfer,New York,ATM,Merchant_30,0
CUST000,2024-11-23 02:58:00,442.67,transfer,New York,ATM,Merchant_40,0
CUST000,2024-08-04 21:05:00,3731.51,purchase,Los Angeles,ATM,Merchant_32,1
CUST000,2024-11-27 05:01:00,504.82,withdrawal,New York,mobile,Merchant_30,0
CUST000,2024-05-07 16:25:00,361.24,withdrawal,New York,ATM,Merchant_14,0
CUST000,2024-01-18 17:09:00,616.74,payment,New York,ATM,Merchant_16,0
CUST000,2024-07-28 11:32:00,607.89,purchase,New York,ATM,Merchant_48,0
CUST000,2024-10-04 18:18:00,311.79,payment,New York,ATM,Merchant_48,0
CUST000,2024-02-15 00:53:00,699.48,purchase,New York,desktop,Merchant_4,0
CUST000,2024-05-06 07:16:00,255.26,payment,Houston,desktop,Merchant_24,0
CUST000,2024-07-07 22:01:00,708.93,withdrawal,Chicago,desktop,Merchant_24,0
CUST000,2024-06-20 11:46:00,350.03,payment,New York,ATM,Merchant_24,0
CUST000,2024-04-06 02:46:00,409.46,withdrawal,New York,desktop,Merchant_43,0
CUST000,2024-01-26 09:24:00,421.16,purchase,Los Angeles,mobile,Merchant_18,0
CUST000,2024-05-27 19:37:00,476.9,withdrawal,New York,mobile,Merchant_1,0
CUST000,2024-12-03 19:56:00,448.54,withdrawal,New York,desktop,Merchant_7,0
CUST000,2024-01-31 23:12:00,299.67,payment,New York,ATM,Merchant_16,0
CUST000,2024-01-13 23:19:00,716.27,payment,New York,mobile,Merchant_6,0
CUST000,2024-11-01 05:40:00,312.98,transfer,New York,mobile,Merchant_41,0
CUST000,2024-07-16 09:45:00,611.17,transfer,Chicago,ATM,Merchant_41,0
CUST000,2024-02-17 22:07:00,571.73,withdrawal,Los Angeles,desktop,Merchant_30,0
CUST000,2024-05-22 00:10:00,400.56,purchase,Chicago,desktop,Merchant_6,0
CUST000,2024-08-30 15:52:00,686.76,payment,New York,ATM,Merchant_50,0
CUST000,2024-04-10 06:26:00,658.04,payment,New York,ATM,Merchant_31,0
CUST000,2024-01-21 16:54:00,305.13,withdrawal,Houston,ATM,Merchant_28,0
CUST000,2024-04-15 09:40:00,314.96,withdrawal,New York,desktop,Merchant_18,0
CUST000,2024-08-08 17:29:00,344.13,payment,New York,desktop,Merchant_37,0
CUST000,2024-12-27 22:50:00,671.68,purchase,New York,mobile,Merchant_21,0
CUST000,2024-05-04 00:44:00,477.09,purchase,Houston,mobile,Merchant_49,0
CUST000,2024-07-19 08:47:00,697.39,payment,New York,mobile,Merchant_5,0
CUST000,2024-03-06 23:30:00,416.47,transfer,New York,ATM,Merchant_7,0
CUST000,2024-08-05 16:39:00,341.4,transfer,New York,desktop,Merchant_20,0
CUST000,2024-07-26 15:37:00,582.15,purchase,New York,mobile,Merchant_16,0
CUST000,2024-01-30 19:26:00,382.91,purchase,New York,mobile,Merchant_5,0
CUST000,2024-06-29 06:37:00,290.77,payment,New York,mobile,Merchant_20,0
CUST000,2024-01-10 22:42:00,643.36,withdrawal,New York,mobile,Merchant_38,0
CUST000,2024-02-07 10:56:00,435.76,payment,New York,desktop,Merchant_39,0
CUST000,2024-06-27 01:30:00,563.55,withdrawal,New York,mobile,Merchant_43,0
CUST000,2024-11-25 07:26:00,291.83,purchase,New York,ATM,Merchant_46,0
CUST000,2024-05-23 00:47:00,605.5,withdrawal,New York,desktop,Merchant_33,0
CUST000,2024-02-10 15:42:00,403.26,payment,New York,ATM,Merchant_7,0
CUST000,2024-08-06 04:13:00,312.15,purchase,Los Angeles,mobile,Merchant_11,0
CUST000,2024-09-29 05:42:00,563.68,purchase,New York,mobile,Merchant_44,0
CUST000,2024-09-15 10:43:00,384.81,payment,New York,desktop,Merchant_13,0
CUST000,2024-02-13 03:02:00,5510.48,purchase,New York,ATM,Merchant_30,1
CUST000,2024-12-12 15:46:00,631.8,payment,Los Angeles,desktop,Merchant_46,0
CUST000,2024-12-02 08:00:00,476.98,purchase,Los Angeles,desktop,Merchant_7,0
